"q1","q3","ndogs","allpets_1","allpets_2","allpets_3","petloc_home","petloc_work","ndogs_a","ndogs_b","country","wave","caseid"
8,"Jasmine",1,1,8,8,8,9,1,0,1,"2014-12-01",24286784
1,"Clyde",-99,9,1,2,2,3,1,2,2,"2014-12-01",43805958
9,"Geoffrey",2,1,9,8,9,3,1,2,3,"2014-12-01",74137861
2,"Spike",3,1,9,8,9,2,0,,4,"2014-12-01",67805248
2,"Zeus",1,9,9,8,1,2,4,,5,"2014-12-01",29591231
8,"Teddy",2,9,9,2,3,1,0,3,1,"2014-12-01",85169775
9,"Ali",2,2,2,9,1,3,3,1,2,"2014-12-01",77607549
3,"Hugo",3,8,9,8,9,8,3,,3,"2014-12-01",18339706
1,"Snoopy",2,9,2,1,1,8,1,1,4,"2014-12-01",23166807
2,"Lady",2,2,9,9,8,1,5,,5,"2014-12-01",30169371
8,"Biscuit",2,2,9,2,9,3,0,0,1,"2015-01-01",31660096
1,"",,9,1,1,1,1,1,,2,"2015-01-01",53128284
1,"Daisy",3,8,8,2,8,1,2,,3,"2015-01-01",25380208
1,"Doug",0,9,9,8,1,1,3,,4,"2015-01-01",63389428
2,"",6,8,1,1,2,3,3,2,5,"2015-01-01",48336523
9,"Fluffy",1,2,1,1,3,2,2,1,1,"2015-01-01",80398092
1,"",-99,8,2,2,3,2,2,3,2,"2015-01-01",90191350
9,"",0,9,8,2,9,3,1,,3,"2015-01-01",22781691
3,"Felix",-98,1,8,1,8,1,4,2,4,"2015-01-01",17853965
3,"Rocky",2,9,1,9,2,8,2,2,5,"2015-01-01",36868951
